id,url,category
recipe_069,https://klopotenko.com/zrobit-cze-po-novomu-yak-smachno-posmazhyty-kartoplyu/,potato
recipe_070,https://klopotenko.com/idealna-yak-ne-kruty-smazhena-kartoplya-z-grybamy/,potato
recipe_071,https://www.unian.ua/recipes/second-courses/side-dishes/smazhena-kartoplya-z-gribami-yak-smazhiti-kartoplyu-z-gribami-11215157.html,potato
recipe_072,https://cookpad.com/ua/recipes/24954621,potato
recipe_073,https://cookpad.com/ua/recipes/24062067,potato
recipe_074,https://nv.ua/ukr/food-drink/recepti-supiv-10-smachnih-supiv-na-kozhen-den-yak-prigotuvati-stravi-na-obid-50077809.html,soup
recipe_075,https://www.djurenko.com/uk/domashnya-kuxnya/supy-recepty,soup
recipe_076,https://shuba.life/articles/9625-7-smachnih-ukrayinskih-supiv-na-shoden,soup
recipe_077,https://www.prekrasno.recipes/post/four-soup-recipes,soup
recipe_078,https://www.online.ua/guide/naysmachnishiy-domashniy-sup-10-retseptiv-na-kozhen-den-836131/,soup
recipe_079,https://shuba.life/articles/7367-7-smachnih-supiv-na-shoden,soup
recipe_080,https://vsviti.com.ua/life/food/113138,soup
recipe_081,https://24tv.ua/smachnonews24/retsept-supu-yak-prigotuvati-smachniy-sup_n2792801,soup
recipe_082,https://www.rbc.ua/rus/styler/k-uriznomanitniti-sup-5-retseptiv-obidu-chi-1718120657.html,soup
recipe_083,https://www.unian.ua/recipes/first-courses/dishes-meat/recepti-supiv-z-kurkoyu-i-ne-tilki-dobirka-smachnih-pershih-strav-11585662.html,soup
recipe_084,https://tsn.ua/other/iak-zvaryty-idealnyy-horokhovyy-sup-bude-nabahato-smachnishym-niz-u-restorani-2853638.html,soup
recipe_085,https://greenpost.ua/news/pokrokovi-retsepty-ovochevyh-supiv-bez-m-yasa-i60259,soup
recipe_086,https://kuhari.com.ua/recept-vermisheleviy-sup-bez-m-yasa.html,soup
recipe_087,https://klopotenko.com/shhe-bilshe-smaku-sokovyti-golubczi-z-rysom-i-voloskymy-gorihamy-vid-yevgena-klopotenka/,cabbage_rolls
recipe_088,https://rud.ua/consumer/recipe/drugi-stravy/klasychni-golubci-z-myasom/,cabbage_rolls
recipe_089,https://www.unian.ua/recipes/second-courses/meat-dishes/golubci-recept-yak-prigotuvati-smachni-golubci-vdoma-11076662.html,cabbage_rolls
recipe_090,https://espreso.tv/recepty-domashni-golubtsi-retsepti-smachnoi-ukrainskoi-stravi,cabbage_rolls
recipe_091,https://easy-food.com.ua/retsept-klasichnih-golubts%D1%96v,cabbage_rolls
recipe_092,https://maminaferma.com.ua/druhi-stravy/retsept-smachnykh-holubtsiv/,cabbage_rolls
recipe_093,https://zelenasadyba.com.ua/na-kuxni/golubczi-na-moloczi.html,cabbage_rolls
recipe_094,https://klopotenko.com/stravy/golubczi/,cabbage_rolls
recipe_095,https://kanapulka.com.ua/recept-golubciv-imjasom?srsltid=AfmBOori-px9_cZAHprhgQe3YkcIsfeg8LSKaQOWDqw7-jM_rGKm_YgJ,cabbage_rolls
recipe_096,https://marieclaire.ua/life/vecherya-po-italijsky-8-retseptiv-smachnoyi-pasty/,pasta
recipe_097,https://klopotenko.com/stravy/pasta/,pasta
recipe_098,https://womo.ua/dlya-lyubiteliv-italiyskoyi-kuhni-5-retseptiv-smachnoyi-pasti/,pasta
recipe_099,https://shuba.life/articles/24765-retsepty-italiyskoyi-pasty,pasta
recipe_100,https://vogue.ua/article/culture/restorany/3-besproigryshnyh-recepta-italyanskoy-pasty-45229.html,pasta
recipe_101,https://roll-club.kh.ua/uk/dvoma-slovami-pro-istoriju-pohodzhennja-pasti/,pasta
recipe_102,https://gastrotravel.club/ua/blog/types-of-italian-pasta,pasta
recipe_103,https://ua.korrespondent.net/lifestyle/fooddrinks/1558501-yizha-po-italijski-pyat-populyarnih-receptiv-pasti,pasta
recipe_104,https://rud.ua/consumer/recipe/drugi-stravy/italiiska-pasta-u-vershkovomu-sousi/,pasta
recipe_105,https://liza.ua/lifestyle/food/7-retseptov-vkusneyshey-italyanskoy-pastyi/,pasta
recipe_106,https://www.unian.ua/lite/holidays/10809254-greckiy-salat-do-svyatkovogo-stolu-na-rizdvo-recept.html,salad
recipe_107,https://tsn.ua/lady/kukhnya/recepty/klasichniy-greckiy-salat-za-10-hvilin-1906861.html,salad
recipe_108,https://picantecooking.com/uk/recipe/miy-greckiy-salat,salad
recipe_109,https://kanapulka.com.ua/foto-recepti/recepti-salativ/?srsltid=AfmBOorDFhQJz5jMOnLTg8glJzEPPZ9wMi6axdxVw9sC-u0-PLoLvyz9,salad
recipe_110,https://rud.ua/consumer/recipe/salaty-i-zakusky/salad/,salad
